"time","bus","location","direction","alg","count"
23,1,8.93780941729178,1,"rope",0
23,2,5.01762417177704,1,"rope",5
23,3,8.87282107153444,-1,"rope",3
23,4,5.93928376864821,1,"rope",3
23,5,1.97318951680269,-1,"rope",2
24,1,9.08242563297498,1,"rope",0
24,2,5.12189571535101,1,"rope",5
24,3,8.77699387358249,-1,"rope",3
24,4,6.21460815235091,1,"rope",3
24,5,1.72366912777316,-1,"rope",2
25,1,9.22704184865818,1,"rope",0
25,2,5.22616725892499,1,"rope",5
25,3,8.68116667563054,-1,"rope",3
25,4,6.48993253605361,1,"rope",3
25,5,1.47414873874364,-1,"rope",2
26,1,9.37165806434137,1,"rope",0
26,2,5.33043880249896,1,"rope",5
26,3,8.5853394776786,-1,"rope",3
26,4,6.7652569197563,1,"rope",3
26,5,1.22462834971411,-1,"rope",0
27,1,9.51627428002457,1,"rope",0
27,2,5.43471034607294,1,"rope",5
27,3,8.48951227972665,-1,"rope",3
27,4,7.24798230570056,1,"rope",3
27,5,1.17841619119938,-1,"rope",0
28,1,9.66089049570777,1,"rope",0
28,2,5.53898188964691,1,"rope",5
28,3,8.3936850817747,-1,"rope",3
28,4,7.73070769164482,1,"rope",1
28,5,1.13220403268464,-1,"rope",0
29,1,9.80550671139096,1,"rope",0
29,2,5.64325343322088,1,"rope",5
29,3,8.29785788382275,-1,"rope",3
29,4,8.35341104717754,1,"rope",1
29,5,1.08599187416991,-1,"rope",0
30,1,9.95012292707416,1,"rope",1
30,2,5.74752497679486,1,"rope",5
30,3,8.20203068587081,-1,"rope",3
30,4,8.97611440271025,1,"rope",1
30,5,1.03977971565518,-1,"rope",0
31,1,9.53109374045676,-1,"rope",1
31,2,5.85179652036883,1,"rope",5
31,3,8.10620348791886,-1,"rope",3
31,4,9.59881775824297,1,"rope",0
31,5,1.48487196786035,1,"rope",0
32,1,9.11206455383937,-1,"rope",1
32,2,5.9560680639428,1,"rope",5
32,3,8.01037628996691,-1,"rope",4
32,4,9.62368265662357,1,"rope",0
32,5,1.92996422006552,1,"rope",0
33,1,8.83536536801568,-1,"rope",1
33,2,6.61457913383358,1,"rope",3
33,3,7.22319350907715,-1,"rope",6
33,4,9.64854755500417,1,"rope",0
33,5,2.95468840607237,1,"rope",8
34,1,8.558666182192,-1,"rope",1
34,2,6.9856011258455,1,"rope",3
34,3,6.71721313469912,-1,"rope",6
34,4,9.67341245338477,1,"rope",0
34,5,3.29427781038773,1,"rope",8
35,1,8.28196699636831,-1,"rope",1
35,2,7.35662311785742,1,"rope",3
35,3,6.21123276032108,-1,"rope",5
35,4,9.69827735176537,1,"rope",0
35,5,3.6338672147031,1,"rope",8
36,1,8.00526781054463,-1,"rope",1
36,2,7.72764510986934,1,"rope",1
36,3,5.61466371403137,-1,"rope",5
36,4,9.72314225014597,1,"rope",0
36,5,3.97345661901846,1,"rope",8
37,1,6.78833934615723,-1,"rope",1
37,2,7.99761378300422,1,"rope",1
37,3,5.01809466774167,-1,"rope",4
37,4,9.74800714852657,1,"rope",0
37,5,4.28465212206332,1,"rope",8
38,1,5.57141088176983,-1,"rope",1
38,2,8.26758245613911,1,"rope",1
38,3,4.56370320664457,-1,"rope",4
38,4,9.77287204690717,1,"rope",0
38,5,4.59584762510818,1,"rope",8
39,1,5.08098185957617,-1,"rope",1
39,2,8.53755112927399,1,"rope",1
39,3,4.10931174554747,-1,"rope",3
39,4,9.79773694528777,1,"rope",0
39,5,4.90704312815305,1,"rope",6
40,1,4.59055283738251,-1,"rope",1
40,2,8.80751980240888,1,"rope",1
40,3,3.9770465386401,-1,"rope",3
40,4,9.82260184366837,1,"rope",0
40,5,5.39884360762743,1,"rope",6
41,1,4.10012381518885,-1,"rope",1
41,2,9.36206301892703,1,"rope",1
41,3,3.84478133173273,-1,"rope",3
41,4,9.84746674204898,1,"rope",0
41,5,5.89064408710182,1,"rope",5
42,1,3.48967919133104,-1,"rope",1
42,2,9.91660623544518,1,"rope",0
42,3,3.71251612482536,-1,"rope",3
42,4,9.87233164042958,1,"rope",0
42,5,6.09138703034258,1,"rope",5
43,1,3.02789881315578,-1,"rope",1
43,2,9.93431365766681,1,"rope",0
43,3,3.58025091791799,-1,"rope",3
43,4,9.89719653881018,1,"rope",0
43,5,6.29212997358333,1,"rope",5
44,1,2.56611843498052,-1,"rope",1
44,2,9.95202107988843,1,"rope",0
44,3,3.44798571101062,-1,"rope",3
44,4,9.92206143719078,1,"rope",0
44,5,6.49287291682408,1,"rope",5
45,1,2.10433805680526,-1,"rope",0
45,2,9.96972850211006,1,"rope",0
45,3,3.31572050410325,-1,"rope",3
45,4,9.94692633557139,1,"rope",0
45,5,6.69361586006483,1,"rope",5
46,1,1.98277143980666,-1,"rope",0
46,2,9.98743592433168,1,"rope",0
46,3,3.18345529719588,-1,"rope",3
46,4,9.97179123395199,1,"rope",0
46,5,6.89435880330559,1,"rope",4
47,1,1.86120482280805,-1,"rope",0
47,2,9.05819626869498,-1,"rope",0
47,3,3.05119009028851,-1,"rope",3
47,4,9.99665613233259,1,"rope",0
47,5,7.16931042483162,1,"rope",4
48,1,1.73963820580944,-1,"rope",0
