"time","alg","direction","bus","location","arrive","board"
16,"elevator",1,4,5,40.3467098686944,37.486355306626
16,"elevator",-1,5,6,22.2196275365842,18.3723475134222
16,"elevator",-1,4,6,24.8642413477627,18.8536303465551
17,"elevator",1,4,1,45.1967874587016,29.761137437196
17,"elevator",1,5,1,35.0301128227513,30.769293232712
17,"elevator",1,5,1,45.9991285557924,30.769293232712
17,"elevator",1,5,1,35.0301128227513,30.769293232712
17,"elevator",1,5,1,49.9080224799625,30.769293232712
17,"elevator",1,5,1,44.9894978484935,30.769293232712
17,"elevator",1,5,1,51.7937743525134,30.769293232712
17,"elevator",1,5,1,44.9894978484935,30.769293232712
17,"elevator",1,4,2,37.486355306626,31.7390351430494
17,"elevator",1,4,2,40.3467098686944,31.7390351430494
17,"elevator",1,4,2,37.1604945588089,31.7390351430494
17,"elevator",1,4,2,38.5749065993219,31.7390351430494
17,"elevator",1,4,2,37.486355306626,31.7390351430494
17,"elevator",-1,4,3,26.7773848562806,22.6093389873552
17,"elevator",-1,4,3,26.7773848562806,22.6093389873552
17,"elevator",1,4,4,43.7106146136964,37.1604945588089
17,"elevator",1,3,5,34.449996850666,24
17,"elevator",1,4,5,40.3467098686944,37.486355306626
17,"elevator",-1,5,6,22.2196275365842,18.3723475134222
17,"elevator",-1,4,6,24.8642413477627,18.8536303465551
17,"elevator",-1,1,10,29.3307530632755,27.8494776655123
18,"elevator",1,4,1,45.1967874587016,29.761137437196
18,"elevator",1,5,1,35.0301128227513,30.769293232712
18,"elevator",1,5,1,45.9991285557924,30.769293232712
18,"elevator",1,5,1,35.0301128227513,30.769293232712
18,"elevator",1,5,1,49.9080224799625,30.769293232712
18,"elevator",1,5,1,44.9894978484935,30.769293232712
18,"elevator",1,5,1,51.7937743525134,30.769293232712
18,"elevator",1,5,1,44.9894978484935,30.769293232712
18,"elevator",1,4,2,37.486355306626,31.7390351430494
18,"elevator",1,4,2,40.3467098686944,31.7390351430494
18,"elevator",1,4,2,37.1604945588089,31.7390351430494
18,"elevator",1,4,2,38.5749065993219,31.7390351430494
18,"elevator",1,4,2,37.486355306626,31.7390351430494
18,"elevator",-1,4,3,26.7773848562806,22.6093389873552
18,"elevator",-1,4,3,26.7773848562806,22.6093389873552
